2025-05-11 01:28:35,176 - [AUTH] - INFO - Current queued commands: [{'server_id': '03286b97-9182-4fd2-b121-8a9d3514b78c', 'user_id': 1, 'command': 'start_server', 'action_id': None}]
2025-05-11 01:29:26,184 - [AUTH] - INFO - Current queued commands: [{'server_id': '03286b97-9182-4fd2-b121-8a9d3514b78c', 'user_id': 1, 'command': 'start_server', 'action_id': None}]
2025-05-11 01:29:59,192 - [AUTH] - INFO - Current queued commands: [{'server_id': '03286b97-9182-4fd2-b121-8a9d3514b78c', 'user_id': 1, 'command': 'start_server', 'action_id': None}]
2025-05-11 01:30:04,196 - [AUTH] - INFO - Current queued commands: [{'server_id': '03286b97-9182-4fd2-b121-8a9d3514b78c', 'user_id': 1, 'command': 'start_server', 'action_id': None}]
2025-05-11 01:31:59,213 - [AUTH] - INFO - Current queued commands: [{'server_id': 'f87dc8a7-2d6c-4266-9ba7-f3fb8796ed26', 'user_id': 1, 'command': 'start_server', 'action_id': None}]
2025-05-11 01:36:38,270 - [AUTH] - INFO - Current queued commands: [{'server_id': 'f87dc8a7-2d6c-4266-9ba7-f3fb8796ed26', 'user_id': 1, 'command': 'stop_server', 'action_id': None}]
2025-05-11 01:37:47,295 - [AUTH] - INFO - Current queued commands: [{'server_id': 'ecbe201d-1786-404e-92b1-332ade561bfb', 'user_id': 1, 'command': 'start_server', 'action_id': None}]
2025-05-11 04:48:38,572 - [AUTH] - INFO - Current queued commands: [{'server_id': 'ecbe201d-1786-404e-92b1-332ade561bfb', 'user_id': 1, 'command': 'restart_server', 'action_id': None}]
2025-05-11 04:49:04,592 - [AUTH] - INFO - Current queued commands: [{'server_id': 'ecbe201d-1786-404e-92b1-332ade561bfb', 'user_id': 1, 'command': 'kill_server', 'action_id': None}]
2025-05-11 04:54:33,635 - [AUTH] - INFO - Current queued commands: [{'server_id': '97abc04f-2a0c-4f33-bdc3-8c16f7103363', 'user_id': 1, 'command': 'start_server', 'action_id': None}]
2025-05-11 05:10:57,871 - [AUTH] - INFO - Current queued commands: [{'server_id': '97abc04f-2a0c-4f33-bdc3-8c16f7103363', 'user_id': 1, 'command': 'start_server', 'action_id': None}]
2025-05-11 05:15:54,915 - [AUTH] - INFO - Current queued commands: [{'server_id': '97abc04f-2a0c-4f33-bdc3-8c16f7103363', 'user_id': 1, 'command': 'restart_server', 'action_id': None}]
2025-05-11 07:54:34,989 - [AUTH] - INFO - Current queued commands: [{'server_id': '47a6c196-1a19-4886-9af4-4975d89fc9bf', 'user_id': 1, 'command': 'start_server', 'action_id': None}]
2025-05-11 08:09:03,096 - [AUTH] - INFO - Current queued commands: [{'server_id': '9ea0e776-6669-4091-a0e2-e816d961db9e', 'user_id': 1, 'command': 'start_server', 'action_id': None}]
2025-05-11 08:09:19,101 - [AUTH] - INFO - Current queued commands: [{'server_id': '9ea0e776-6669-4091-a0e2-e816d961db9e', 'user_id': 1, 'command': 'stop_server', 'action_id': None}]
2025-05-11 08:09:24,102 - [AUTH] - INFO - Current queued commands: [{'server_id': '9ea0e776-6669-4091-a0e2-e816d961db9e', 'user_id': 1, 'command': 'start_server', 'action_id': None}]
2025-05-11 08:09:34,108 - [AUTH] - INFO - Current queued commands: [{'server_id': '9ea0e776-6669-4091-a0e2-e816d961db9e', 'user_id': 1, 'command': 'stop_server', 'action_id': None}]
2025-05-11 08:10:08,118 - [AUTH] - INFO - Current queued commands: [{'server_id': '9ea0e776-6669-4091-a0e2-e816d961db9e', 'user_id': 1, 'command': 'start_server', 'action_id': None}]
2025-05-11 08:10:15,123 - [AUTH] - INFO - Current queued commands: [{'server_id': '9ea0e776-6669-4091-a0e2-e816d961db9e', 'user_id': 1, 'command': 'stop_server', 'action_id': None}]
2025-05-11 08:10:50,129 - [AUTH] - INFO - Current queued commands: [{'server_id': '9ea0e776-6669-4091-a0e2-e816d961db9e', 'user_id': 1, 'command': 'kill_server', 'action_id': None}]
2025-05-11 08:12:57,162 - [AUTH] - INFO - Current queued commands: [{'server_id': '951cef48-14a5-45be-9447-7afc3bee2e95', 'user_id': 1, 'command': 'start_server', 'action_id': None}]
2025-05-11 08:12:59,168 - [AUTH] - INFO - Current queued commands: [{'server_id': '951cef48-14a5-45be-9447-7afc3bee2e95', 'user_id': 1, 'command': 'start_server', 'action_id': None}]
